t,f,ferr
10000.830555556087,0.9996943325714718,0.0005
10000.831944444977,1.0000346403106917,0.0005
10000.833333333867,1.0007849716079518,0.0005
10000.834722222757,0.9997131901390044,0.0005
10000.836111111646,1.0000977710292795,0.0005
10000.837500000536,0.9995337459020845,0.0005
10000.838888889426,0.999633826906029,0.0005
10000.840277778316,1.000621266045845,0.0005
10000.841666667206,1.0000281598471383,0.0005
10000.843055556095,0.9989941141213088,0.0005
10000.844444444985,0.9999298660320979,0.0005
10000.845833333875,0.9999839907138683,0.0005
10000.847222222765,1.0004624258603338,0.0005
10000.848611111654,1.0006750919517815,0.0005
10000.850000000544,1.0006821549316984,0.0005
10000.851388889434,1.0005534636503284,0.0005
10000.852777778324,0.9999338818737405,0.0005
10000.854166667214,1.0009825329822726,0.0005
10000.855555556103,0.999678061027136,0.0005
10000.856944444993,1.000421082712613,0.0005
10000.858333333883,1.0007487679157394,0.0005
10000.859722222773,0.9990939823070648,0.0005
10000.861111111662,0.9995732778850197,0.0005
10000.862500000552,1.0009289899497649,0.0005
10000.863888889442,0.9997682182966676,0.0005
10000.865277778332,0.999506063864472,0.0005
10000.866666667222,1.0001059518312672,0.0005
10000.868055556111,1.0003207559566227,0.0005
10000.869444445001,1.0002387393223942,0.0005
10000.870833333891,0.9996539051805843,0.0005
10000.87222222278,1.0006239683378022,0.0005
10000.87361111167,1.0011331863482384,0.0005
10000.87500000056,0.9997593953551895,0.0005
10000.87638888945,1.0003903398148772,0.0005
10000.87777777834,1.0003034619369435,0.0005
10000.87916666723,1.0001569854824888,0.0005
10000.88055555612,0.9992837193419208,0.0005
10000.88194444501,0.9998023459597691,0.0005
10000.883333333899,0.9994453801631678,0.0005
10000.884722222789,0.9994102227771213,0.0005
10000.886111111678,0.9989921548821715,0.0005
10000.887500000568,0.9999622268477422,0.0005
10000.888888889458,0.9996567704414625,0.0005
10000.890277778348,0.9993704918525614,0.0005
10000.891666667238,1.0003089547081523,0.0005
10000.893055556127,0.9997316323130023,0.0005
10000.894444445017,1.0000776694744553,0.0005
10000.895833333907,1.0004639333022098,0.0005
10000.897222222797,1.0002607899651759,0.0005
10000.898611111686,0.9999799174686534,0.0005
10000.900000000576,0.9997930319595201,0.0005
10000.901388889466,0.9999756678566657,0.0005
10000.902777778356,0.9997788056985477,0.0005
10000.904166667246,0.9995613651330572,0.0005
10000.905555556135,1.0002558747515822,0.0005
10000.906944445025,0.9998545694596815,0.0005
10000.908333333915,1.0008064206498293,0.0005
10000.909722222805,0.9999799539223789,0.0005
10000.911111111694,0.9999367163673648,0.0005
10000.912500000584,1.000699098907466,0.0005
10000.913888889474,0.9992510725782391,0.0005
10000.915277778364,0.9999281103480759,0.0005
10000.916666667254,0.9996536684522364,0.0005
10000.918055556143,0.9997582640105017,0.0005
10000.919444445033,0.998829524607091,0.0005
10000.920833333923,1.0006092464378393,0.0005
10000.922222222813,0.9997284584853294,0.0005
10000.923611111702,0.9994294920107474,0.0005
10000.925000000592,0.9999960579201875,0.0005
10000.926388889482,1.0001755019192762,0.0005
10000.927777778372,0.9996364680757128,0.0005
10000.929166667262,1.0005178602972449,0.0005
10000.930555556151,0.9997747683603152,0.0005
10000.931944445041,1.0005236270235875,0.0005
10000.933333333931,1.000626241971471,0.0005
10000.93472222282,0.9995731030655018,0.0005
10000.93611111171,0.9998719751908592,0.0005
10000.9375000006,0.999595992351861,0.0005
10000.93888888949,1.000274609600764,0.0005
10000.94027777838,0.9995647236823961,0.0005
10000.94166666727,1.0004619794651892,0.0005
10000.94305555616,0.9999895373381237,0.0005
10000.94444444505,0.9994688804104676,0.0005
10000.945833333939,1.0002336033549948,0.0005
10000.947222222829,0.9998123892557305,0.0005
10000.948611111718,0.9999271680617221,0.0005
10000.950000000608,0.9999447476392667,0.0005
10000.951388889498,1.000281983585369,0.0005
10000.952777778388,1.0001236327132268,0.0005
10000.954166667278,0.999777592107784,0.0005
10000.955555556167,1.000212284547956,0.0005
10000.956944445057,0.9993973427431663,0.0005
10000.958333333947,0.9989586003105981,0.0005
10000.959722222837,0.9979463338653933,0.0005
10000.961111111726,0.9963763352868161,0.0005
10000.962500000616,0.9941379198655464,0.0005
10000.963888889506,0.9932380643275887,0.0005
10000.965277778396,0.9914454716761366,0.0005
10000.966666667286,0.9897280368884096,0.0005
10000.968055556175,0.9896893020261747,0.0005
10000.969444445065,0.9890648815974764,0.0005
10000.970833333955,0.9888010969491027,0.0005
10000.972222222845,0.9880562248245996,0.0005
10000.973611111734,0.9890351106615888,0.0005
10000.975000000624,0.988154437762475,0.0005
10000.976388889514,0.9884219332428583,0.0005
10000.977777778404,0.9882665762353198,0.0005
10000.979166667294,0.9878563672000565,0.0005
10000.980555556183,0.9872400045253107,0.0005
10000.981944445073,0.9878335669667506,0.0005
10000.983333333963,0.9865774342407853,0.0005
10000.984722222853,0.9873074688216924,0.0005
10000.986111111743,0.9864550679559388,0.0005
10000.987500000632,0.9880070384310862,0.0005
10000.988888889522,0.9866900527664046,0.0005
10000.990277778412,0.9871675596710902,0.0005
10000.991666667302,0.9863716083476497,0.0005
10000.993055556191,0.9860473125184509,0.0005
10000.994444445081,0.9868801493222741,0.0005
10000.995833333971,0.9875680404564602,0.0005
10000.99722222286,0.9873326560471718,0.0005
10000.99861111175,0.9877386888578422,0.0005
10001.00000000064,0.9865050348915722,0.0005
10001.00138888953,0.9866674215533221,0.0005
10001.00277777842,0.9868674908571825,0.0005
10001.00416666731,0.9855347246009762,0.0005
10001.0055555562,0.985651259284857,0.0005
10001.00694444509,0.9864815260401909,0.0005
10001.008333333979,0.987338074850994,0.0005
10001.009722222869,0.9870161787035286,0.0005
10001.011111111759,0.9866055636505814,0.0005
10001.012500000648,0.9866796137714761,0.0005
10001.013888889538,0.9875682173786555,0.0005
10001.015277778428,0.9870413310317989,0.0005
10001.016666667318,0.987304986454745,0.0005
10001.018055556207,0.9868809050061038,0.0005
10001.019444445097,0.9884630691441216,0.0005
10001.020833333987,0.9879029413359749,0.0005
10001.022222222877,0.9877307060078687,0.0005
10001.023611111767,0.9882259833354091,0.0005
10001.025000000656,0.987527978944053,0.0005
10001.026388889546,0.9887515115218751,0.0005
10001.027777778436,0.9890995744991412,0.0005
10001.029166667326,0.9886644445794606,0.0005
10001.030555556215,0.9894660744928854,0.0005
10001.031944445105,0.9889759544425306,0.0005
10001.033333333995,0.9898392969971435,0.0005
10001.034722222885,0.9908939851389289,0.0005
10001.036111111775,0.9924892067387444,0.0005
10001.037500000664,0.9949800387868665,0.0005
10001.038888889554,0.9964004517667807,0.0005
10001.040277778444,0.9993018711386575,0.0005
10001.041666667334,0.9998497897273133,0.0005
10001.043055556223,0.9995838651887639,0.0005
